,level_0,index,text,Corrective,Adaptive,Perfective
410,410,1968,    [arm] remove memzero()          as suggested by andrew morton  remove memzero() - it's not supported     on other architectures so use of it is a potential build breaking bug.     since the compiler optimizes memset(x 0 n) to __memzero() perfectly     well  we don't miss out on the underlying benefits of memzero().          signed-off-by: russell king <rmk+kernel@arm.linux.org.,0,0,1
411,411,2012,"    arch/tile: core support for tilera 32-bit chips.          this change is the core kernel support for tilepro and tile64 chips.     no driver support (except the console driver) is included yet.          this includes the relevant linux headers in asm/; the low-level     low-level ""tile architecture"" headers in arch/  which are     shared with the hypervisor  etc.  and are build",0,1,0
412,412,499,    checkpatch: categorize some long line length checks          many lines of code extend beyond the maximum line length.  some of these     are possibly justified by use type.          for instance:          structure definitions where comments are added per member like:     struct foo {             type member;            /* some long description */          and lines that don't,0,0,1
413,413,1399,    [qt] use fixed pitch font for the rpc console          also:     * preserve white space     * make fixed font as large as default font ,0,0,1
414,414,1549,    rename trtrs to triangular_solve (#18213)          summary:     changelog:     - renames `trtrs` to `triangular_solve` to remain consistent with `cholesky_solve` and `solve`.     - rename all tests  fix callsites     - create a tentative alias for `triangular_solve` under the name `trtrs`  and add a deprecation warning to not promote usage.     - move `isnan` to _torch_docs.py ,1,1,1
415,415,709,    fix imports in all guava packages.          -------------     created by moe: https://github.com/google/moe     moe_migrated_revid=133190481 ,1,0,0
416,416,343,    browser: implement pdf renderer as webui ,0,1,0
417,417,1478,    char: tpm: add missing error check for devm_kzalloc          currently these driver are missing a check on the return value of devm_kzalloc      which would cause a null pointer dereference in a oom situation.          this patch adds a missing check for tpm_i2c_atmel.c and tpm_i2c_nuvoton.c          cc: stable@vger.kernel.org     signed-off-by: kiran padwal <kiran.padwal@smart,1,1,0
418,418,1182,    deps: upgrade v8 to 5.0.71.32          * pick up the branch head for v8 5.0 stable [1]     * edit v8 gitignore to allow trace_event copy     * update v8 dep trace_event as per deps/v8/deps [2]          [1] https://chromium.googlesource.com/v8/v8.git/+/3c67831     [2] https://chromium.googlesource.com/chromium/src/base/trace_event/common/+/4b09207e447ae5bd34643b4c6321bee7b76d35f,0,0,1
419,419,668,    fix spdx (#4327) ,1,0,0
420,420,1140,    cleanup clusterservice dependencies and detached from guice (#18941)          this change removes some unnecessary dependencies from clusterservice     and cleans up clustername creation. clusterservice is now not created     by guice anymore. ,0,0,1
421,421,559,    emit the scalainlineinfo attribute under genasm          the goal of this commit is to allow the new inliner (in genbcode      coming soon) to inline methods generated by the genasm backend of     2.11.6.          the scalainlineinfo attribute is added to every classfile generated     by genasm. it contains metadata about the class and its methods that     will be used by the n,0,1,0
422,422,861,    changed to eshoponcontainers and added basic netstandard libraries for models and sqldata/repositories code ,0,1,0
423,423,270,    add optional 'directoryexists' method to hosts to reduce amount of disk probings that are known to fail ,0,1,1
424,424,1782,"    drm/i915: don't leak global_timeline          we need to clean up the global_timeline in i915_gem_load_cleanup.          v2: don't forget about the struct_mutex  and also warn_on if we have any     remaining timelines before purging the global_timeline.          v3: it might be a good idea to first remove the global_timeline...duh!          fixes: 73cb97010d4f (""drm/i915: combi",1,0,1
425,425,314,    polish `objectprovider` names          consistently use the simple name for objectprovider parameter and     field names. for example:            `objectprovider<something> something`          rather than            `objectprovider<something> somethingprovider` ,0,0,1
426,426,921,    implemented jdbcmigrationpersistence.     replace last slick table usage.     more file renaming for unified connector naming scheme. ,0,1,1
427,427,267,    usb: chipidea: split the driver code into units          split the driver into the following parts:       * core  -- resources  register access  capabilities  etc;       * udc   -- device controller functionality;       * debug -- logging events.          signed-off-by: alexander shishkin <alexander.shishkin@linux.intel.com>     signed-off-by: greg kroah-hartman <gregkh@linuxfo,0,0,1
428,428,954,    added preliminary exception handling code gener...          added preliminary exception handling code generation. ,0,1,0
429,429,237,    port ca1813 (avoid unsealed attributes) to system.runtime.analyzers.     change the fixer to use the documenteditor and remove the c#\vb specific fixers. ,0,0,1
430,430,634,    add syntaxtrrinfo based filter for vb ,0,1,0
431,431,1650,    net/mlx5_core: fix an error code          we return success if mlx5e_alloc_sq_db() fails but we should return an     error code.          fixes: f62b8bb8f2d3 ('net/mlx5: extend mlx5_core to support connectx-4 ethernet functionality')     signed-off-by: dan carpenter <dan.carpenter@oracle.com>     acked-by: or gerlitz <ogerlitz@mellanox.com>     signed-off-by: david s. miller <d,1,0,0
432,432,97,    mm: simplify memory_isolation && compaction || cma into contig_alloc          this condition allows to define alloc_contig_range  so simplify it into a     more accurate naming.          link: http://lkml.kernel.org/r/20190327063626.18421-4-alex@ghiti.fr     signed-off-by: alexandre ghiti <alex@ghiti.fr>     suggested-by: vlastimil babka <vbabka@suse.cz>     acked-by: vlastimil,0,0,1
433,433,1518,    kubeadm: fix a couple of problems related to initdata/joindata          fix a couple of problems related to data used by the phases runners     of `init` and `join`.          1) make `newinitdata()` and `newjoindata()` return pointers.          methods of the data objects returned by these functions should     be able to modify fields in the data objects - e.g.     `func (d ini,1,0,0
434,434,899,    src/pkg/[a-m]*: gofix -r error -force=error          r=golang-dev  iant     cc=golang-dev     https://golang.org/cl/5322051 ,1,0,0
435,435,1915,    add parentheses for all method calls (#11474)          * add parentheses for all method calls          using rubocop          * fix code style          * after merge updates          * fix tests ,1,0,1
436,436,692,    clk: sunxi: make factors clock mux mask configurable          some of the factors-style clocks on the a80 have different widths     for the mux values in the registers.          add a .muxmask field to clk_factors_config to make it configurable.     passing a bitmask instead of a width parameter will allow reuse     in case we support table-based muxes in the future.          s,0,1,1
437,437,192,    fixed a few problems detected by xcode 4.2.1 ,1,0,0
438,438,1905,    jit auto sutff - before attaching - and some code improves ,0,0,1
439,439,1543,    sched/core: fix task and run queue sched_info::run_delay inconsistencies          mike meyer reported the following bug:          > during evaluation of some performance data  it was discovered thread     > and run queue run_delay accounting data was inconsistent with the other     > accounting data that was collected.  further investigation found under     > certain circumstan,1,0,0
440,440,912,    fixed headers/comments/svn props  made some pro...          fixed headers/comments/svn props  made some progress with serializable     classes ,1,0,0
441,441,21,    fix: update types for typescript nullability support in examples ,1,0,0
442,442,1384,    staging: rt2870: remove dead qos_dls_support code          signed-off-by: bartlomiej zolnierkiewicz <bzolnier@gmail.com>     signed-off-by: greg kroah-hartman <gregkh@suse.de> ,0,0,1
443,443,284,    ide: add 'init_default' and 'restore' arguments to ide_unregister()          * add 'init_default' (flag for calling init_hwif_default()) and 'restore'       (flag for calling ide_hwif_restore()) arguments to ide_unregister().          * update ide_unregister() users to set 'init_default' and 'restore' flags.          * no need to set 'init_default' flag in ide_register_hw() if ,0,1,1
444,444,265,    fixed (filter->template)optionselected test          - small misunderstanding on my part  fixed the api in the filtersrv back     - renames to match my renames     - init script has to be called or fundefined things happen ,1,0,0
445,445,971,    net: provide compat support for siocgetmifcnt_in6 and siocgetsgcnt_in6.          signed-off-by: david s. miller <davem@davemloft.net> ,0,1,0
446,446,820,    conflicts variable name ,1,0,0
447,447,1019,    deps: upgrade openssl sources to 1.1.0h          this updates all sources in deps/openssl/openssl with openssl-1.1.0h.          fixes: https://github.com/nodejs/node/issues/4270     pr-url: https://github.com/nodejs/node/pull/19794     reviewed-by: james m snell <jasnell@gmail.com>     reviewed-by: rod vagg <rod@vagg.org>     reviewed-by: michael dawson <michael_dawson@ca.ibm.c,1,0,0
448,448,632,    move master actions to accept a lister  improve cluster service state execution     - master actions many times end up being executed on the cluster service  so there is no need to block them on the management thread pool to wait for a response  this remove the load on the management thread pool  and also simplifies the code implementing it     - cluster service state update ex,0,0,1
449,449,611,    perf(core): use `array.push` / `array.pop` instead of `splice` if possible ,0,0,1
450,450,705,    fix syntax highlight taking too long          use timeout to switch to plain rendering ,1,0,0
451,451,1716,    [reflection] hoist computation of metadata/value for opaque existential to the reader.          this will allow re-use of this code in remoteast (and  transitively      in lldb).          <rdar://problem/41546568> ,0,0,1
452,452,283,    finagle: remove use of runwith annotation in tests          problem / solution          the `runwith` annotation is no longer necessary for     running tests in sbt or pants. let's remove it for     all finagle tests.          differential revision: https://phabricator.twitter.biz/d357096 ,0,0,1
453,453,762,    first step in moving the compiler code base to the .net foundation coding style.          background:          as discussed in the dev team all hands all code under the github dotnet foundation is using a single process for contribution  api review  infrastructure and coding style. the idea is to present a unified view to our customer and give them a single story for contributi,0,1,1
454,454,1204,    btrfs: fix fallocate regression          seems that when btrfs_fallocate was converted to use the new enospc stuff we     dropped passing the mode to the function that actually does the preallocation.     this breaks anybody who wants to use falloc_fl_keep_size.  thanks           signed-off-by: josef bacik <josef@redhat.com>     signed-off-by: chris mason <chris.mason@oracle.co,1,0,0
455,455,171,    [emmet] support all the features (#8155)          * [emmet] support all the features          * fix tslint errors          * [emmet] fix problem with css `url()` without quotes          * [emmet] do not save files without a name          * [emmet] clarifying the method name          * [emmet] add promise error handler          * [emmet] correct support for paths          * fix ,1,1,1
456,456,920,    adding skflow to tensorflow/contrib ,0,1,0
457,457,13,    update from facebook (#8887)          * add opencl + fpga context          adds an opencl context inside caffe2/fb which can be used for fpga access          * [caffe2] force tensor inference checks to be triggered during testing          we've started to rely on tensorinference functions more for different analysis.  this diff ensures that the tensorinference function's result,0,1,0
458,458,1973,    fixed bug #61025 (__invoke() visibility not honored) ,1,0,0
459,459,470,    - fixed bug #34304 (date() doesn't have a modifier for iso week day). ,1,0,0
460,460,1653,    add support for compiling on aix          closes #1900 ,0,1,0
461,461,1036,    configuration of artery materializer and dispatcher          * also increased the parallelism-max to 4 for default-remote-dispatcher ,0,0,1
462,462,1934,    [form  frameworkbundle] added csrf tokens reset on kernel::shutdown() to preven tokens stacking in tests ,0,1,0
463,463,543,    add a dentry op to allow processes to be held during pathwalk transit          add a dentry op (d_manage) to permit a filesystem to hold a process and make it     sleep when it tries to transit away from one of that filesystem's directories     during a pathwalk.  the operation is keyed off a new dentry flag     (dcache_manage_transit).          the filesystem is allowed to be ,0,1,0
464,464,1509,    rename checkpointable -> trackable and autocheckpointable -> autotrackable          no api changes in this cl. just more refactoring for a future api change.          piperorigin-revid: 234242335 ,0,1,1
465,465,1438,    fix build          r=rsc     https://golang.org/cl/159044 ,1,0,0
466,466,1855,    [alsa] hda-codec - a new model for fujitsu s7020          modules: hda codec driver          added a new model 'fujitsu' to alc260 config for fujitsu s7020.          signed-off-by: takashi iwai <tiwai@suse.de> ,0,1,0
467,467,972,    added new git_commit action with tests & docs ,0,1,0
468,468,473,    powerpc: add support for setting sprn_tidr          we need the sprn_tidr to be set for use with fast thread-wakeup (core-     to-core wakeup) and also with capi.          each thread in a process needs to have a unique id within the process.     but for now  we assign globally unique thread ids to all threads in     the system.          signed-off-by: sukadev bhattiprolu <suka,0,1,0
469,469,686,    integration with the testconductor          - removed old failureinjector from testconductor     - fixed tests to work with the new remoting     - plugged throttlertransportadapter into testconductor ,1,0,0
470,470,2027,"    revendor golang.org/x/sys to remove golang.org/x/sys/unix          this fix tries to fix the issue raised in #24168 where     golang.org/x/sys causes s390x build failure.          this fix revendor golang.org/x/sys to removed the import     of ""golang.org/x/sys/unix"".          note: the last commit removes the reference to     ""golang.org/x/sys/unix"".          this fix fixes #2",1,0,0
471,471,1293,    dbg: added getbridgebp function ,0,1,0
472,472,888,    adding unk to vocab | changing default params          summary: unk needs tobe indexed in the vocabulary for validation to work. default args now result in training loss decreasing.          reviewed by: urikz          differential revision: d4703393          fbshipit-source-id: e4d6ad100daf8392f8ba1e502f9ecf39bb8ce24a ,0,0,1
473,473,1485,    removing all of the 'type' tags from the nodes. simply using constructor.name instead. ,0,0,1
474,474,178,    staging: comedi: ni_at_a2150: fix checkpatch warning          fix checkpatch.pl warning 'line over 80 characters'     remove extra space after /*          signed-off-by: anson jacob <ansonjacob.aj@gmail.com>     signed-off-by: greg kroah-hartman <gregkh@linuxfoundation.org> ,1,0,0
475,475,1137,    following up on things that -xlint told me  som...          following up on things that -xlint told me  sometimes because mr. linty     was being sensible and other times just to shut him up so we can hear     better in the future.          - made xml.equality public because it occurs in public method signatures     - made some actor classes with inaccessible-unoverridable meth,0,0,1
476,476,1077,    mtd: nand: subpage write support for hardware based ecc schemes          this patch adds support for subpage (partial-page) writes when using     hardware based ecc schemes.     advantages:     (1) reduces storage overhead when using file-systems like ubifs  which     store leb header at page-size granularity.     (2) allows independent subpage writes  thereby increasing nand s,0,1,1
477,477,688,    merged commit includes the following changes:     191649512  by zhichao lu:              introduce two parameters in ssd.proto - freeze_batchnorm  inplace_batchnorm_update - and set up slim arg_scopes in ssd_meta_arch.py such that applies it to all batchnorm ops in the predict() method.              this centralizes the control of freezing and doing inplace batchnorm updates.  ,0,0,1
478,478,1695,    fixed #20660 -- do not try to delete an unset fieldfile          thanks stanislas.guerra at gmail.com for the report and     baptiste mispelon for the review. ,1,0,0
479,479,1248,    mfd: max8998: add support for device tree          this patch adds device tree support to max8998 driver.          signed-off-by: tomasz figa <t.figa@samsung.com>     acked-by: mark brown <broonie@linaro.org>     signed-off-by: samuel ortiz <sameo@linux.intel.com> ,0,1,0
480,480,259,    send header to c++ process on job open (elastic/elasticsearch#603)          this avoids the problem of the c++ process getting confused by control     messages that are sent before any data messages have been sent          fixes elastic/elasticsearch#593          original commit: elastic/x-pack-elasticsearch@9aed3f0b8294c0e786635880a808961478f6e337 ,1,0,0
481,481,112,    debug: drop support for variable substition for program and runtime in package.json          fixes #31675 ,1,0,0
482,482,1525,    fixes #4490 and #4467. ,1,0,0
483,483,2003,    add ability to share licenses between teachers          set up boilerplate for sharelicensesmodal          add main modal ui          [fixup] tweak button styles          add joiners to prepaid schema          fetch real prepaid data and map it          fix up endpoint interactions          add sweet list transitions and error handling          fix reopening modal  add prepaid ,1,1,0
484,484,1009,    drivers: net: xgene: fix error deconstruction path          since register_netdev() call in xgene_enet_probe() was moved down to     the end  it doesn't properly handle errors that may occur  by     deconstructing everything that was setup before the error occurred.          signed-off-by: iyappan subramanian <isubramanian@apm.com>     signed-off-by: david s. miller <davem@dave,1,0,0
485,485,220,    updating the music store application with the latest code.          changes include     (1) inclusion of all views (with non compiling code commented out)     (2) inclusion of all models with data annotations     (3) images & setting up of static files     (4) mvc application setup and scripts to run the application     (5) scripts to clean up the temporary files and capture lk,0,1,1
486,486,956,    rest high-level client: add support for split and shrink index api (#28425)          relates to #27205 ,0,1,0
487,487,1282,    [powerpc] cell: abstract spu management routines          this adds a platform specific spu management abstraction and the coresponding     routines to support the ibm cell blade.  it also removes the hypervisor only     resources that were included in struct spu.          three new platform specific routines are introduced  spu_enumerate_spus()      spu_create_spu() and spu_de,0,1,0
488,488,893,    staging: fsl-dpaa2/ethsw: add ethtool support          add driver information  link details and hardware statistics to be     reported via ethtool -s.          signed-off-by: razvan stefanescu <razvan.stefanescu@nxp.com>     signed-off-by: greg kroah-hartman <gregkh@linuxfoundation.org> ,0,1,0
489,489,994,    [s390] smp: remove volatile type quilifier from __cpu_logical_map          remove pointless qualifier.          signed-off-by: heiko carstens <heiko.carstens@de.ibm.com>     signed-off-by: martin schwidefsky <schwidefsky@de.ibm.com> ,0,0,1
490,490,894,    make `files.eol` overridable. fixes #49418. fixes #34876 ,1,0,0
491,491,285,"    add git-archive          git-archive is a command to make tar and zip archives of a git tree.     it helps prevent a proliferation of git-{format}-tree commands.          instead of directly calling git-{tar zip}-tree command  it defines     a very simple api  that archiver should implement and register in     ""git-archive.c"". this api is made up by 2 functions whose prototype ",0,1,0
492,492,2008,"    [spark-10023] [ml] [pyspark] unified decisiontreeparams checkpointinterval between scala and python api.          ""checkpointinterval"" is member of decisiontreeparams in scala api which is inconsistency with python api  we should unified them.     ```     member of decisiontreeparams <-> scala api     shared param for all ml transformer/estimator <-> python api     ```     prop",0,0,1
493,493,213,    [scaladoc] improve visual design and layout of ...          [scaladoc] improve visual design and layout of scaladoc  using     contributions from heather miller. no review. ,0,0,1
494,494,697,    add classes in top menu for teachers and students only ,0,1,0
495,495,1570,    allow shrinking of indices from a previous major (#28076)          lucene does not allow adding lucene 6 files to a lucene 7 index. this commit ensures that we carry over the lucene version to the newly created lucene index.          closes #28061 ,1,1,0
496,496,821,    preserve webview scroll position (#26426)          * preserve webview scroll position          fixes #22995          **bug**     if you switch away from an editor that users a webview  the scroll position is currently not preserved. this effects our release notes and the markdown preview. the root cause is that the webview is disposed of when the view is hidden.          **fix*,1,0,0
497,497,885,    rollback changeset 1407857 to fix the build break. (changeset 1407952) ,1,0,0
498,498,1086,    alsa: ca0106: make snd_pcm_hardware const          make these const as they are only used during a copy operation.     done using coccinelle.          signed-off-by: bhumika goyal <bhumirks@gmail.com>     signed-off-by: takashi iwai <tiwai@suse.de> ,0,0,1
499,499,431,    add unified attribute for completion for encoding parameter. (#7732)          provide a tab completion attribute (argumentencodingcompletionsattribute) for an encoding parameter.     this pr should fix the duplicated code warning in codefactor ,1,1,0
500,500,1257,    siloptimizer: fix potential crashes with uses of replaceloadsequence()          this utility is generally a horrible idea but even worse the     callers were not doing anything to ensure the required     invariants actually held.          add a new canreplaceloadsequence() method and chek it in the     right places. ,1,0,0
501,501,1907,    add cloudfoundrydiscoverymvcendpoint          update cloud foundry support with a discovery endpoint that shows what     endpoints are available.          see gh-7108 ,0,1,0
502,502,313,    remove unused tensor-reference-recording feature from the executor.          this change also removes the `device::requiresrecordingaccessedtensors()` and `device::consumelistofaccessedtensors()` methods.          some device objects (historically  gpus with experimental multi-stream support) required the ability to record which tensors were used during kernel execution. this s,0,0,1
503,503,858,    [patch] fix cfq hash lookups          if somebody does a hash lookup for cfq_queue while ioprio of an async queue     is elevated  they shouldn't end up stuck with lowered ioprio when we go back.     fix is to use ->org_ioprio{ class} in hash lookups.          signed-off-by: al viro <viro@zeniv.linux.org.uk> ,1,0,0
504,504,302,    fix up this pattern var react = require('react-native');          summary:first i searched for special cases that destructor proptypes:          ```     (?s)react\s*=\s*require\('react\-native'\).*(children|proptypes)[^\{\}]*\}\s*=\s*react;     ```          i split them up manually.          then i replaced the react = require('react-native') + destructuring pattern...         ,1,0,0
505,505,612,    fix js-prototype-assignment on declarations ,1,0,0
506,506,15,"    re-apply ""ast: early exit from subst() if the type is concrete""          the underlying issue (pun intended) with recursive properties of     typealiases not getting set should now be fixed. ",1,0,0
507,507,580,    cri: add linuxuser to linuxcontainerconfig          signed-off-by: antonio murdaca <runcom@redhat.com> ,0,1,0
508,508,179,    feature: add liked and bookmarked classes to topic list item rows ,0,1,0
509,509,1363,    fix: allow user quotes in html digest emails ,1,0,0
510,510,766,    feature: new site setting for additional allowed filetypes for staff (#5364)          * feature: new site setting for additional allowed filetypes for staff          * problematic variable name          * feedback          * small issues          * fix indentation          * failing tests          * remove message bus and fix minor issues          * missed this message bus ,1,1,0
511,511,357,    on test completion  kill the asp.net process tree (otherwise orphan processes are left behind) ,0,0,1
512,512,1732,    net: rfkill: gpio: remove unused and obsolete platform parameters          after upgrading to descriptor based gpios  the gpio numbers     are not used anymore. the power_clk_name and the platform     specific setup and close hooks are not used by anybody  and     we should not encourage use of such things  so removing them.          acked-by: alexandre courbot <acourbot@nvidia,0,0,1
513,513,984,    better shape function for fixed width histogram op.          piperorigin-revid: 173446796 ,0,0,1
514,514,1522,    mac80211: minstrel_ht: add basic support for vht rates <= 3ss@80mhz          when the new config_mac80211_rc_minstrel_vht is not set (default 'n')      there is no behavioral change including in sampling and mcs_group_rates     remains 8.     otherwise mcs_group_rates is 10  and a module parameter *vht_only*     (default 'true')  restricts the rates selection to vht when vht is,0,1,0
515,515,1977,    drm/i915: use time based guilty context banning          currently  we accumulate each time a context hangs the gpu  offset     against the number of requests it submits  and if that score exceeds a     certain threshold  we ban that context from submitting any more requests     (cancelling any work in flight). in contrast  we use a simple timer on     the file  that if we see ,0,0,1
516,516,675,    usb: remove use of __devexit          config_hotplug is going away as an option so __devexit is no     longer needed.          signed-off-by: bill pemberton <wfp5p@virginia.edu>     cc: peter korsgaard <jacmet@sunsite.dk>     cc: alexander shishkin <alexander.shishkin@linux.intel.com>     acked-by: felipe balbi <balbi@ti.com>     cc: li yang <leoli@freescale.com>     cc: alan s,0,0,1
517,517,586,    asus-laptop: add bluetooth keys found on m9v          reported by andrey f. ilchuk          signed-off-by: corentin chary <corentincj@iksaif.net> ,1,0,0
518,518,2025,    do not launch javagateways on workers (spark-674).          the problem was that the gateway was being initialized whenever the     pyspark.context module was loaded.  the fix uses lazy initialization     that occurs only when sparkcontext instances are actually constructed.          i also made the gateway and jvm variables private.          this change results in ~3-4x perfor,1,0,0
519,519,879,    lcd: add platform_lcd driver          add a platform_lcd driver to allow boards with simple lcd power controls     to register themselves easily.          [akpm@linux-foundation.org: build fix]     signed-off-by: ben dooks <ben-linux@fluff.org>     cc: richard purdie <rpurdie@rpsys.net>     signed-off-by: andrew morton <akpm@linux-foundation.org>     signed-off-by: linus torval,1,0,0
520,520,1343,    added isprofiling() to reactdebugtool and isrunning() to perftools ,0,1,0
521,521,1551,    remove the unused nsimageview imagescale and alignment override ,0,0,1
522,522,26,    drm/i915/gt: convert timeline tracking to spinlock          convert the active_list manipulation of timelines to use spinlocks so     that we can perform the updates from underneath a quick interrupt     callback  if need be.          signed-off-by: chris wilson <chris@chris-wilson.co.uk>     reviewed-by: matthew auld <matthew.auld@intel.com>     link: https://patchwork.freedes,0,1,1
523,523,303,    fix: add topic deleted check to email/sender (#9166)          it already had a deleted post check and log reason  add a topic one too to avoid errors ,1,0,0
524,524,1784,    [scsi] lpfc 8.2.3 : miscellaneous small fixes - part 1          miscellaneous small fixes - part 1     - fix typo kmzlloc -> kzalloc     - fix discovery ndlp use after free panic     - fix link event causing flood of 0108 messages     - relieve some mbox congestion on link up with 100 vports     - fix broken vport parameters     - prevent lock recursion in logo_reglogin_issue  ,1,0,0
525,525,43,    fix creating literal enum values ,1,0,0
526,526,300,    [ml] allow model_memory_limit to be reduced (elastic/x-pack-elasticsearch#3998)          up to now a job update that reduces the model memory limit     was not allowed. however  there could definitely be cases     where reducing the limit is necessary and reasonable.          this commit makes it possible to decrease the limit as long     as it does not go below the current mem,0,0,1
527,527,685,    uids: merge multiple error paths in alloc_uid() into one          there are already 4 error paths in alloc_uid() that do incremental rollbacks.     i think it's time to merge them.  this costs us 8 lines of code :)          maybe it would be better to merge this patch with the previous one  but i     remember that some time ago i sent a similar patch (fixing the error path and ,0,0,1
528,528,511,    add test to column alias in `exists?` sql.          this behavior was added in be4ecdcc87984e9421ff5d5c90d33f475e0fbc01.          closes #1139.          fixes #2553  #1141  #1623 and #2062. ,0,1,0
529,529,476,    cmd/link: remove global bso variable          bso is already a member on ld.link. use that instead of     the global.          updates #16818          change-id: icfc0f6cb1ff551e8129253fb6b5e0d6a94479f51     reviewed-on: https://go-review.googlesource.com/27470     run-trybot: michael matloob <matloob@golang.org>     reviewed-by: brad fitzpatrick <bradfitz@golang.org>     trybo,0,0,1
530,530,155,"    (lotsa files affected) rc file format changed; see below          the rc file used to be a bunch of variables  each one requiring to be     declared before being used.  while this was nice and all  it was a     little cumbersome to add a new flag or option.          if you disregard the ""catch typos"" aspect of having to predeclare     variables  it's a lot more useful to have a",0,0,1
531,531,935,    kvm: mmu: remove pt_access in mmu_set_spte          it is only used in debug code  so drop it          reviewed-by: gleb natapov <gleb@redhat.com>     signed-off-by: xiao guangrong <xiaoguangrong@linux.vnet.ibm.com>     signed-off-by: marcelo tosatti <mtosatti@redhat.com> ,0,0,1
532,532,909,    add jsx codefix if available (#32281)          * add jsx codefix if available          * update react jsx.          * update diagnostic code. ,0,1,0
533,533,867,"    revert ""nfsv4: remove incorrect check in can_open_delegated()""          this reverts commit 4e379d36c050b0117b5d10048be63a44f5036115.          this commit opens up a race between the recovery code and the open code.          reported-by: olga kornievskaia <aglo@umich.edu>     cc: stable@vger.kernel # v4.0+     signed-off-by: trond myklebust <trond.myklebust@primarydata.com> ",1,0,0
534,534,1238,    use the pagination helper in the api ,0,0,1
535,535,857,    drm/amd/powerplay: add function to set thermal range          add the function to set the correct min and max thermal value for smu11          signed-off-by: likun gao <likun.gao@amd.com>     acked-by: alex deucher <alexander.deucher@amd.com>     reviewed-by: huang rui <ray.huang@amd.com>     signed-off-by: alex deucher <alexander.deucher@amd.com> ,0,1,0
536,536,274,    remove longtuple          this commit removes an abstraction that was introduced when introducing     the primary context. as this abstraction is used in exactly one place      we simply make that abstraction local to its usage so that we do not     accumulate yet another general abstraction with exactly one usage.          relates #25402 ,0,0,1
537,537,145,"    feature 2.6 (#4429)          * new layout component (#4087)          * change anchor type          * new layout          * component update && add snap          * revert ""new layout component"" (#4131)          * add layout (#4169)          * add layout          * update          * fix snapshot          * improve layout component          1. update demo code     2. drop `positio",1,1,1
538,538,902,    compat_ioctl: don't pass fd around when not needed          signed-off-by: al viro <viro@zeniv.linux.org.uk> ,0,0,1
539,539,739,"    feat(router): add ""paramsinheritancestrategy"" router configuration option          previously  the router would merge path and matrix params  as well as     data/resolve  with special rules (only merging down when the route has     an empty path  or is component-less). this change adds an extra option     ""paramsinheritancestrategy"" which  when set to 'always'  makes child     ",0,1,0
540,540,1828,    [spark-8759][sql] add default eval to binary and unary expression according to default behavior of nullable          we have `nullsafecodegen` to provide default code generation for binary and unary expression  and we can do the same thing for `eval`.          author: wenchen fan <cloud0fan@outlook.com>          closes #7157 from cloud-fan/refactor and squashes the following co,0,1,0
541,541,1702,    drm/amdgpu: add framework for hw specific priority settings v9          add an initial framework for changing the hw priorities of rings. the     framework allows requesting priority changes for the lifetime of an     amdgpu_job. after the job completes the priority will decay to the next     lowest priority for which a request is still valid.          a new ring function set_p,0,1,0
542,542,1213,    arm64: compat: vdso: use legacy syscalls as fallback          the generic vdso implementation uses the y2038 safe clock_gettime64() and     clock_getres_time64() syscalls as fallback for 32bit vdso. this breaks     seccomp setups because these syscalls might be not (yet) allowed.          implement the 32bit variants which use the legacy syscalls and select the     variant in t,0,0,1
543,543,980,    restore split between require-time and runtime load path mungery. simplifies vendor requires. ,0,0,1
544,544,2002,    fix: confirm email token for user created via social login ,1,0,0
545,545,342,    style(imports): add spaces in imports ,0,0,1
546,546,1651,    change how error messages are shown          instead of throwing the syntax errors with their source file location and needing to then catch them and call a `prettyerrormessage` function in order to get the formatted error message  now syntax errors know how to pretty-print themselves (their `tostring` method gets overridden).          an intermediate `catch` & re-`throw` is ne,0,0,1
547,547,817,    mfh: reset tz environment variable. some tests assume that it's not set. ,1,0,0
548,548,1713,    enable vsthrd100 (avoid async void methods) and fix violations ,1,0,0
549,549,1401,    fix some api user is invalid            issue.username -> issue.openedusername       issuecomment.username -> issuecomment.commentedusername ,1,0,0
550,550,441,    x86: make intel_64.c the same as intel.c          no change in functionality intended - this only adds the 32-bit side.          signed-off-by: yinghai lu <yhlu.kernel@gmail.com>     signed-off-by: ingo molnar <mingo@elte.hu> ,0,1,0
551,551,1347,    [react_native] js files from d1994196:     [react_native] textinput fix android viewconfig    mixins: [nativemethodsmixin  timermixin]  ,1,0,0
552,552,1162,    test: fix pummel/test-net-connect-memleak          a loop that generates a long array is resulting in a rangeerror. moving     to array.prototype.fill() along with the ** operator instead of using a     loop fixes the issue.          pr-url: https://github.com/nodejs/node/pull/21658     reviewed-by: anna henningsen <anna@addaleax.net>     reviewed-by: luigi pinca <luigipinca@gm,1,0,0
553,553,569,    env.gcc: remove raise          this raise happened in no other env methods  and isn't really necessary     since fails_with guards against this method actually being called unless     gcc-4.2 is actually installed. ,0,0,1
554,554,666,    add refactor of extract type (#30562)          * add basically implement          * add rename location and add testcase          * collection type arguments          * disallow infer type          * add support for typedef convert          * refactor info to make type safe          * disallow type pred          * avoid unnecessary branch          * disallow type query         ,0,1,1
